"year","sex","age","deaths"
2010,"male",65,1703.05127244401
2012,"male",65,1682.74182528062
2013,"male",65,1891.39307897072
2014,"male",65,1918.37074829932
2015,"male",65,2020.0626029654
2016,"male",65,2134.0197394394
2017,"male",65,2115.00078064012
2019,"male",65,2209.38574561403
2020,"male",65,3994.24
2021,"male",65,3243.3959764475
2022,"male",65,2873.66484778863
2023,"male",65,2600.6373486297
2024,"male",65,2742.99820143885
1990,"male",70,974.11421319797
1991,"male",70,1087.52049497293
1992,"male",70,1102.30285296269
1993,"male",70,1140.65102639296
1994,"male",70,1192.96551724138
1995,"male",70,1269.37034617897
1996,"male",70,1363.38442367601
1997,"male",70,1373.41842263697
1998,"male",70,1402.7
1999,"male",70,1329.83639822448
2000,"male",70,1430.60925600469
2001,"male",70,1369.4902676399
2002,"male",70,1533.65878378378
2003,"male",70,1645.74450689831
2004,"male",70,1588.34645669291
2005,"male",70,1818.05023255814
2006,"male",70,1759.43709226468
2007,"male",70,1802.1244813278
2008,"male",70,1918.80789473684
2010,"male",70,1994.96135320618
2012,"male",70,1967.35975872469
2013,"male",70,2023.31681123503
2014,"male",70,2168.87175513367
2015,"male",70,2168.73087378641
2016,"male",70,2342.81468282252
2017,"male",70,2381.21325648415
2019,"male",70,2389.59851724547
2020,"male",70,4151.6554001554
2021,"male",70,3526.36537564162
2022,"male",70,3090.61426648721
2023,"male",70,2777.3959929287
2024,"male",70,2745.71428571429
1990,"male",75,1133.36620739666
1991,"male",75,990.643274853801
1992,"male",75,1084.17758484609
1993,"male",75,1005.62222222222
1994,"male",75,994.710758377425
1995,"male",75,1152.7107195301
1996,"male",75,1149.33528550512
1997,"male",75,1342.1949413942
1998,"male",75,1381.23076923077
1999,"male",75,1320.06132665832
2000,"male",75,1421.00901984366
2001,"male",75,1529.2676056338
2002,"male",75,1553.97226666667
2003,"male",75,1673.19958634953
2004,"male",75,1600.30421052632
2005,"male",75,1811.12696148359
2006,"male",75,1705.94174757282
2007,"male",75,1844.50047664442
2008,"male",75,1864.26600090785
2010,"male",75,1964.97930215742
2012,"male",75,2079.78886597938
2013,"male",75,2189.08948194662
2014,"male",75,2277.99036323202
2015,"male",75,2328.39360119048
2016,"male",75,2431.91043723554
2017,"male",75,2209.55771472989
2019,"male",75,2516.5632267233
2020,"male",75,4096.31821829856
2021,"male",75,3381.98962194218
2022,"male",75,3049.62406015038
2023,"male",75,2768.02503816794
2024,"male",75,2900.07570422535
1990,"male",80,1171.90050107373
1991,"male",80,1209.58794674142
1992,"male",80,1157.69346356123
1993,"male",80,1093.95348837209
1994,"male",80,1274.6887966805
1995,"male",80,1144.95026778883
1996,"male",80,1279.71117561684
1997,"male",80,1146.70498084291
1998,"male",80,1182.23880597015
1999,"male",80,989.335125448029
2000,"male",80,1165.33940774487
2001,"male",80,1256.02284082798
2002,"male",80,1395.56466069142
2003,"male",80,1485.35262206148
2004,"male",80,1492.63133372161
2005,"male",80,1637.29735339907
2006,"male",80,1588.04756756757
2007,"male",80,1620.52568956193
2008,"male",80,1752.00407124682
2010,"male",80,1862.64047488529
2012,"male",80,1880.00094428706
2013,"male",80,2017.84320557491
2014,"male",80,2161.78005744768
2015,"male",80,2181.47329192547
2016,"male",80,2281.04637792258
2017,"male",80,2256.64992614476
2019,"male",80,2472.44878435661
2020,"male",80,3614.66335227273
2021,"male",80,3032.35857716581
2022,"male",80,2978.97602339181
2023,"male",80,2649.08707124011
2024,"male",80,2593.82578638092
1990,"male",85,1688.40057971014
1991,"male",85,1630.29083665339
1992,"male",85,1670.95338512764
1993,"male",85,1651.55104342922
1994,"male",85,1598.42813826562
1995,"male",85,1995.34073046694
1996,"male",85,2126.98653929657
1997,"male",85,2117.32450935646
1998,"male",85,2036.63077656027
1999,"male",85,1932.58409638554
2000,"male",85,2024.42403846154
2001,"male",85,2159.66836027714
2002,"male",85,2046.80865384615
2003,"male",85,2231.68316831683
2004,"male",85,2093.49005090236
2005,"male",85,2417.72643401524
2006,"male",85,2184.17958826106
2007,"male",85,2360.82040647034
2008,"male",85,2603.58550396376
2010,"male",85,2805.17560241411
2012,"male",85,2719.91818494328
2013,"male",85,3005.63006862134
2014,"male",85,3258.98186073727
2015,"male",85,3386.84495021337
2016,"male",85,3250.66265422811
2017,"male",85,3491.35750139431
2019,"male",85,3708.47252873233
2020,"male",85,4874.55512572534
2021,"male",85,4320.72042780749
2022,"male",85,4624.51952882827
2023,"male",85,4137.37803692906
2024,"male",85,4139.67806546165
1990,"female",0,709.534246575342
1991,"female",0,589.664848012471
1992,"female",0,601.129643669447
1993,"female",0,533.562231759657
1994,"female",0,486.062146892655
1995,"female",0,457.88605108055
1996,"female",0,454.633064516129
1997,"female",0,483.775977121068
1998,"female",0,410.80269058296
1999,"female",0,377.155446756426
2000,"female",0,375.746341463415
2001,"female",0,422.744565217391
2002,"female",0,403.765786452354
2003,"female",0,369.111662531017
2004,"female",0,316.464849354376
2005,"female",0,372.5
2006,"female",0,294.995391705069
2007,"female",0,380.564858490566
2008,"female",0,302.129770992366
2010,"female",0,356.322607976582
2012,"female",0,539.847399829497
2013,"female",0,509.393501805054
2014,"female",0,598.298165137615
2015,"female",0,509.879401408451
2016,"female",0,535.996621621622
2017,"female",0,494.951331496786
2019,"female",0,447.549557727161
2020,"female",0,370.40487804878
2021,"female",0,416.166666666667
2022,"female",0,379.176470588235
2023,"female",0,385.009433962264
2024,"female",0,340.622818791946
1990,"female",1,147.692307692308
1991,"female",1,102.333333333333
1992,"female",1,80.0685714285714
1993,"female",1,81.9047619047619
1994,"female",1,67.5496688741722
1995,"female",1,68.2207792207792
1996,"female",1,88.1938775510204
1997,"female",1,92.9751243781095
1998,"female",1,64.5755395683453
1999,"female",1,64.029197080292
2000,"female",1,68.0405405405405
2001,"female",1,66.3698630136986
2002,"female",1,72.0774193548387
2003,"female",1,62.1176470588235
2004,"female",1,67.5324675324675
2005,"female",1,68.794701986755
2006,"female",1,70.4635761589404
2007,"female",1,73.685534591195
2008,"female",1,69.281045751634
2010,"female",1,56.0829935742238
2012,"female",1,82.2346368715084
2013,"female",1,74.4303797468354
2014,"female",1,91.1020408163265
2015,"female",1,76.8969696969697
2016,"female",1,81.0502793296089
2017,"female",1,81.1560693641619
2019,"female",1,67.4283617684829
2020,"female",1,50.5982905982906
2021,"female",1,53.3333333333333
2022,"female",1,67.4594594594595
2023,"female",1,73.685534591195
2024,"female",1,58.9375
1990,"female",5,63.6417910447761
1991,"female",5,59.906976744186
1992,"female",5,45
1993,"female",5,52.7652173913043
1994,"female",5,45.8181818181818
1995,"female",5,32.1428571428571
1996,"female",5,62.5909090909091
1997,"female",5,52.8
1998,"female",5,46.8282828282828
1999,"female",5,38.6666666666667
2000,"female",5,33.7297297297297
2001,"female",5,45.4791666666667
2002,"female",5,42.5806451612903
2003,"female",5,42.0659340659341
2004,"female",5,46.62
2005,"female",5,37.7674418604651
2006,"female",5,50.2830188679245
2007,"female",5,47.6730769230769
2008,"female",5,55.1833333333333
2010,"female",5,42.3721351445489
2012,"female",5,39.6511627906977
2013,"female",5,40.7272727272727
2014,"female",5,51.4285714285714
2015,"female",5,35.8974358974359
2016,"female",5,42.5934065934066
2017,"female",5,33.3333333333333
2019,"female",5,32.4731580895965
2020,"female",5,45
