"year","sex","age","N","deaths","mx"
2021,"female",30,113927.610030265,312.396923076923,0.00274206509724846
2021,"female",35,110558.008553419,434.315673289183,0.00392839631404298
2021,"female",40,114808.628392316,612.748267898383,0.00533712732639347
2021,"female",45,108652.20672195,869.718598382749,0.0080046105332074
2021,"female",50,96146.3982375607,1071.78305963699,0.0111474072797694
2021,"female",55,77310.0630324445,1420.1227154047,0.0183691832563727
2021,"female",60,65319.0830451788,1831.63434343434,0.0280413358247461
2021,"female",65,46321.2701215947,1898.6040235525,0.0409877367042961
2021,"female",70,33837.5131875475,1971.63462435838,0.0582677164669406
2021,"female",75,22049.0504497351,1850.01037805782,0.0839043106312112
2021,"female",80,14348.6397268187,1565.64142283419,0.109114275125877
2021,"female",85,11439.6206226992,2035.27957219251,0.177914953591554
2021,"male",5,140815.394274037,71.1764705882353,0.000505459441811601
2021,"male",10,136372.326085908,69.5402298850575,0.000509929190774751
2021,"male",15,137496.519824187,176.10480349345,0.00128079462461036
2021,"male",20,136350.269642145,332.880694143167,0.00244136439932845
2021,"male",25,125298.085083214,403.624382207578,0.00322131325422507
2021,"male",30,111580.279128005,465.603076923077,0.00417280795998849
2021,"male",35,110239.488828519,655.684326710817,0.00594781719036048
2021,"male",40,110133.784296543,995.251732101617,0.00903675233225285
2021,"male",45,105348.890143579,1448.28140161725,0.0137474765955617
2021,"male",50,90589.098004034,1870.21694036301,0.0206450553275155
2021,"male",55,72809.031161222,2471.8772845953,0.0339501466393886
2021,"male",60,60674.6460980182,3212.36565656566,0.052944118559442
2021,"male",65,42961.0172390802,3243.3959764475,0.0754962564875464
2021,"male",70,30949.0840237012,3526.36537564162,0.113940864063734
2021,"male",75,19759.5814635469,3381.98962194218,0.171156946222843
2021,"male",80,11788.9491027156,3032.35857716581,0.257220431672515
2021,"male",85,8304.9249904879,4320.72042780749,0.520260018333249
