"year","sex","age","deaths"
2013,"male",50,959
2014,"male",50,923
2015,"male",50,930
2016,"male",50,925
2017,"male",50,981
2018,"male",50,964
2019,"male",50,1021
2020,"male",50,1836
2021,"male",50,1471
2022,"male",50,1201
2023,"male",50,1130
2024,"male",50,1227
1990,"male",55,578
1991,"male",55,585
1992,"male",55,645
1993,"male",55,643
1994,"male",55,580
1995,"male",55,616
1996,"male",55,659
1997,"male",55,666
1998,"male",55,663
1999,"male",55,714
2000,"male",55,747
2001,"male",55,777
2002,"male",55,741
2003,"male",55,777
2004,"male",55,781
2005,"male",55,835
2006,"male",55,829
2007,"male",55,935
2008,"male",55,953
2009,"male",55,952
2010,"male",55,981
2011,"male",55,993
2012,"male",55,1027
2013,"male",55,1100
2014,"male",55,1217
2015,"male",55,1237
2016,"male",55,1248
2017,"male",55,1313
2018,"male",55,1277
2019,"male",55,1285
2020,"male",55,2475
2021,"male",55,1946
2022,"male",55,1539
2023,"male",55,1509
2024,"male",55,1471
1990,"male",60,687
1991,"male",60,743
1992,"male",60,738
1993,"male",60,808
1994,"male",60,757
1995,"male",60,814
1996,"male",60,841
1997,"male",60,831
1998,"male",60,837
1999,"male",60,896
2000,"male",60,903
2001,"male",60,878
2002,"male",60,957
2003,"male",60,968
2004,"male",60,976
2005,"male",60,1033
2006,"male",60,1073
2007,"male",60,1080
2008,"male",60,1151
2009,"male",60,1247
2010,"male",60,1191
2011,"male",60,1201
2012,"male",60,1269
2013,"male",60,1270
2014,"male",60,1436
2015,"male",60,1391
2016,"male",60,1461
2017,"male",60,1454
2018,"male",60,1532
2019,"male",60,1639
2020,"male",60,3093
2021,"male",60,2522
2022,"male",60,2006
2023,"male",60,1871
2024,"male",60,1923
1990,"male",65,791
1991,"male",65,797
1992,"male",65,900
1993,"male",65,855
1994,"male",65,856
1995,"male",65,817
1996,"male",65,955
1997,"male",65,964
1998,"male",65,983
1999,"male",65,909
2000,"male",65,981
2001,"male",65,1107
2002,"male",65,1111
2003,"male",65,1167
2004,"male",65,1143
2005,"male",65,1253
2006,"male",65,1206
2007,"male",65,1194
2008,"male",65,1248
2009,"male",65,1302
2010,"male",65,1315
2011,"male",65,1373
2012,"male",65,1313
2013,"male",65,1460
2014,"male",65,1502
2015,"male",65,1566
2016,"male",65,1644
2017,"male",65,1646
2018,"male",65,1644
2019,"male",65,1804
2020,"male",65,3160
2021,"male",65,2571
2022,"male",65,2237
2023,"male",65,2020
2024,"male",65,2139
1990,"male",70,759
1991,"male",70,839
1992,"male",70,868
1993,"male",70,882
1994,"male",70,930
1995,"male",70,986
1996,"male",70,1046
1997,"male",70,1068
1998,"male",70,1079
1999,"male",70,1024
2000,"male",70,1105
2001,"male",70,1061
2002,"male",70,1167
2003,"male",70,1269
2004,"male",70,1230
2005,"male",70,1398
2006,"male",70,1374
2007,"male",70,1398
2008,"male",70,1479
2009,"male",70,1542
2010,"male",70,1523
2011,"male",70,1545
2012,"male",70,1511
2013,"male",70,1565
2014,"male",70,1673
2015,"male",70,1671
2016,"male",70,1813
2017,"male",70,1818
2018,"male",70,1779
2019,"male",70,1921
2020,"male",70,3269
2021,"male",70,2749
2022,"male",70,2396
2023,"male",70,2171
2024,"male",70,2170
1990,"male",75,884
1991,"male",75,770
1992,"male",75,829
1993,"male",75,767
1994,"male",75,751
1995,"male",75,886
1996,"male",75,886
1997,"male",75,1043
1998,"male",75,1072
1999,"male",75,1027
2000,"male",75,1087
2001,"male",75,1165
2002,"male",75,1207
2003,"male",75,1272
2004,"male",75,1233
2005,"male",75,1380
2006,"male",75,1292
2007,"male",75,1391
2008,"male",75,1433
2009,"male",75,1471
2010,"male",75,1500
2011,"male",75,1587
2012,"male",75,1588
2013,"male",75,1670
2014,"male",75,1753
2015,"male",75,1769
2016,"male",75,1857
2017,"male",75,1686
2018,"male",75,1835
2019,"male",75,1996
2020,"male",75,3195
2021,"male",75,2616
2022,"male",75,2340
2023,"male",75,2129
2024,"male",75,2223
1990,"male",80,905
1991,"male",80,929
1992,"male",80,878
1993,"male",80,840
1994,"male",80,960
1995,"male",80,865
1996,"male",80,939
1997,"male",80,865
1998,"male",80,890
1999,"male",80,743
2000,"male",80,876
2001,"male",80,938
2002,"male",80,1044
2003,"male",80,1110
2004,"male",80,1132
2005,"male",80,1256
2006,"male",80,1212
2007,"male",80,1224
2008,"male",80,1312
2009,"male",80,1330
2010,"male",80,1525
2011,"male",80,1343
2012,"male",80,1411
2013,"male",80,1522
2014,"male",80,1623
2015,"male",80,1623
2016,"male",80,1725
2017,"male",80,1748
2018,"male",80,1875
2019,"male",80,1855
2020,"male",80,2763
2021,"male",80,2299
2022,"male",80,2257
2023,"male",80,2004
2024,"male",80,1937
1990,"male",85,1207
1991,"male",85,1197
1992,"male",85,1227
1993,"male",85,1210
1994,"male",85,1148
1995,"male",85,1469
1996,"male",85,1565
1997,"male",85,1523
1998,"male",85,1462
1999,"male",85,1416
2000,"male",85,1451
2001,"male",85,1529
2002,"male",85,1459
2003,"male",85,1610
2004,"male",85,1504
2005,"male",85,1736
2006,"male",85,1579
2007,"male",85,1687
2008,"male",85,1857
2009,"male",85,1888
2010,"male",85,2162
2011,"male",85,1986
2012,"male",85,1989
2013,"male",85,2195
2014,"male",85,2360
2015,"male",85,2440
2016,"male",85,2324
2017,"male",85,2502
2018,"male",85,2659
2019,"male",85,2605
2020,"male",85,3550
2021,"male",85,3178
2022,"male",85,3345
2023,"male",85,2918
2024,"male",85,2911
1990,"female",0,563
1991,"female",0,467
1992,"female",0,470
1993,"female",0,420
1994,"female",0,379
1995,"female",0,351
1996,"female",0,354
1997,"female",0,379
1998,"female",0,322
1999,"female",0,296
2000,"female",0,294
2001,"female",0,331
2002,"female",0,320
2003,"female",0,288
2004,"female",0,244
2005,"female",0,298
2006,"female",0,227
2007,"female",0,291
2008,"female",0,237
2009,"female",0,252
2010,"female",0,293
2011,"female",0,277
2012,"female",0,427
2013,"female",0,402
2014,"female",0,474
2015,"female",0,397
2016,"female",0,420
2017,"female",0,382
2018,"female",0,339
2019,"female",0,354
2020,"female",0,286
2021,"female",0,330
2022,"female",0,293
2023,"female",0,296
2024,"female",0,266
1990,"female",1,120
