"year","sex","x","n","mx","ax","qx","px","lx","dx","Lx","Tx","ex"
2010,"male",55,5,0.0264002466651114,2.5,0.123828477453231,0.876171522546769,77638.8264881515,9613.89767528337,364159.388252549,1206682.88848807,15.5422607871619
2010,"male",60,5,0.0412119527653512,2.5,0.186812494571147,0.813187505428853,68024.9288128682,12707.9066445566,308354.877452949,842523.500235517,12.3855109433961
2010,"male",65,5,0.0624504493557192,2.5,0.270084933175974,0.729915066824026,55317.0221683116,14940.2942358223,239234.375252002,534168.622782568,9.65649635219459
2010,"male",70,5,0.0961787972330318,2.5,0.387677981281659,0.61232201871834,40376.7279324893,15653.1683756262,162750.718723381,294934.247530566,7.30456038992812
2010,"male",75,5,0.146493097119473,2.5,0.536120576423116,0.463879423576884,24723.559556863,13254.8090008567,90480.7752821736,132183.528807185,5.34646026609433
2010,"male",80,5,0.23969671764066,2.5,0.749407370807571,0.250592629192429,11468.7505560064,8594.76620062461,35856.8372784704,41702.7535250114,3.63620721554284
2010,"male",85,NA,0.491622567648364,NA,1,0,2873.98435538177,2873.98435538177,5845.916246541,5845.916246541,2.03408074772364
2019,"female",5,5,0.000238753050993455,0.0536685085427817,0.00119235713873577,0.998807642861264,1e+05,119.235713873582,499410.220633561,6803480.56631662,68.0348056631662
2019,"female",10,5,0.000322398557789401,1.52163757286859,0.00161018709449741,0.998389812905503,99880.7642861264,160.826717642049,498844.407818707,6304070.34568306,63.1159602225702
2019,"female",15,5,0.000956694899544702,2.5,0.00477206098171969,0.99522793901828,99719.9375684844,475.869623170089,497410.013784497,5805225.93786435,58.2152985593028
2019,"female",20,5,0.00161268091528636,2.5,0.00803102587105076,0.991968974128949,99244.0679453143,797.03167721715,494227.760533529,5307815.92407986,53.4824502256859
2019,"female",25,5,0.00195231617953905,2.5,0.00971416807891717,0.990285831921083,98447.0362680971,956.33105717953,489844.353697537,4813588.16354633,48.8952064584013
2019,"female",30,5,0.00215889947245095,2.5,0.0107365495344401,0.98926345046556,97490.7052109176,1046.71378564453,484836.741590477,4323743.80984879,44.3503183251627
2019,"female",35,5,0.00262589997320082,2.5,0.0130438701205044,0.986956129879496,96443.9914252731,1258.0028980543,479074.94988123,3838907.06825832,39.8045229311438
2019,"female",40,5,0.00384039490053399,2.5,0.0190193697759229,0.980980630224077,95185.9885272188,1810.37751328593,471403.998852879,3359832.11837709,35.2975492544928
2019,"female",45,5,0.00567009133835181,2.5,0.0279541995301923,0.972045800469808,93375.6110139328,2610.24046153709,460352.453915822,2888428.11952421,30.9334320617534
2019,"female",50,5,0.00820767588906314,2.5,0.0402132364178948,0.959786763582105,90765.3705523957,3649.96930458133,444701.929500525,2428075.66560839,26.7511238133131
2019,"female",55,5,0.0129905946959267,2.5,0.0629098815458076,0.937090118454192,87115.4012478144,5480.41957331549,421875.957305783,1983373.73610786,22.7671996879842
2019,"female",60,5,0.0191770479349133,2.5,0.0914985590427221,0.908501440957278,81634.9816744989,7469.48319069568,389501.200395755,1561497.77880208,19.1278021599637
2019,"female",65,5,0.0290606180134159,2.5,0.135461595836825,0.864538404163175,74165.4984838032,10046.5767806496,345711.050467392,1171996.57840632,15.8024499580795
2019,"female",70,5,0.041613437840914,2.5,0.188460922042435,0.811539077957566,64118.9217031536,12083.911104543,290384.830754411,826285.52793893,12.8867658093865
2019,"female",75,5,0.064218596658903,2.5,0.276673951113119,0.723326048886881,52035.0105986106,14396.7319785306,224183.223046727,535900.697184519,10.2988486217168
2019,"female",80,5,0.0943177808925529,2.5,0.38160788277634,0.61839211722366,37638.27862008,14363.0638155547,152283.733561513,311717.474137792,8.28192695219306
2019,"female",85,NA,0.145986757385207,NA,1,0,23275.2148045253,23275.2148045253,159433.740576279,159433.740576279,6.84993637718356
2019,"male",5,5,0.000465818550190188,0.0462502569887105,0.00232373062976769,0.997676269370232,1e+05,232.373062976767,498848.881998996,6031033.42122531,60.3103342122531
2019,"male",10,5,0.000595082744898887,1.64968825496266,0.00296949340774662,0.997030506592253,99767.6269370232,296.259310496011,497845.573637585,5532184.53922631,55.4506978773627
