year,sex,mx,qx,lx,dx,Lx,Tx,ex,age,causa,sex_label
2010,female,0.000415423766146396,0.0020741216380277,99843.2086588933,207.086959489534,498495.696119003,6139401.93062442,61.4904309776263,10,todas_causas,f
2010,female,0.00138608637450871,0.00690649936089433,99636.1216994037,688.136810838914,496460.266469921,5640906.23450542,56.61507230805,15,todas_causas,f
2010,female,0.00214415756139921,0.010663626568151,98947.9848885648,1055.14436052271,492102.063541517,5144445.96803549,51.9914172464368,20,todas_causas,f
2010,female,0.00257068055070071,0.012771325259873,97892.8405280421,1250.22130699651,486338.649372719,4652343.90449398,47.5248637121862,25,todas_causas,f
2010,female,0.00280636130037187,0.013934046579166,96642.6192210456,1346.62275775865,479846.539210831,4166005.25512126,43.107329754718,30,todas_causas,f
2010,female,0.00300272955284455,0.0149017827059199,95295.996463287,1420.08023204001,472929.781736335,3686158.71591043,38.6811498144156,35,todas_causas,f
2010,female,0.00387652560416278,0.0191965878599349,93875.9162312469,1802.09727386502,464874.337971572,3213228.93417409,34.2284694858143,40,todas_causas,f
2010,female,0.00576502595048498,0.0284155882433716,92073.8189573819,2616.3317274877,453828.26546819,2748354.59620252,29.8494689079275,45,todas_causas,f
2010,female,0.00921382368465183,0.0450318300671689,89457.4872298942,4028.43436317254,437216.35024154,2294526.33073433,25.6493492248188,50,todas_causas,f
2010,female,0.0141183134269147,0.0681849267185638,85429.0528667217,5824.97370935373,412582.830060224,1857309.98049279,21.7409642055893,55,todas_causas,f
2010,female,0.0210361702713052,0.099925715445065,79604.079157368,7954.49456214558,378134.159381476,1444727.15043257,18.1489085198324,60,todas_causas,f
2010,female,0.0326534431802707,0.150945028613422,71649.5845952224,10815.1485968656,331210.051483948,1066592.99105109,14.8862411007224,65,todas_causas,f
2010,female,0.0473284494645489,0.211604915901061,60834.4359983567,12872.8657133207,271990.015708482,735382.939567141,12.0882675658735,70,todas_causas,f
2010,female,0.0733159487439979,0.309797077147097,47961.570285036,14858.3542896892,202661.965700957,463392.92385866,9.66175463198372,75,todas_causas,f
2010,female,0.0976809111555637,0.392544334998739,33103.2159953468,12994.479909213,133029.880203701,260730.958157703,7.87630296084685,80,todas_causas,f
2010,female,0.15746723840011,1,20108.7360861338,20108.7360861338,127701.077954001,127701.077954001,6.35052732339847,85,todas_causas,f
2010,male,0.000523460195938447,0.00261053184496588,1e+05,261.053184496588,498706.848241972,5990392.87810713,59.9039287810714,5,sin_homicidios,m
2010,male,0.000662726013872377,0.00330628863293087,99738.9468155034,329.765746116609,497589.862497987,5491686.02986516,55.0605977424612,10,sin_homicidios,m
2010,male,0.00152451004652101,0.00759360889996171,99409.1810693868,754.874442106389,495158.719241668,4994096.16736718,50.2377759643884,15,sin_homicidios,m
2010,male,0.00217930062757834,0.0108374579406631,98654.3066272804,1069.16189873843,490598.628389556,4498937.44812551,45.603051726091,20,sin_homicidios,m
2010,male,0.00278489220975876,0.0138281860299193,97585.144728542,1349.42553506288,484552.159805053,4008338.81973595,41.0752971764931,25,sin_homicidios,m
2010,male,0.00326560810627403,0.0161958175486833,96235.7191934791,1558.61614972391,477282.055593086,3523786.6599309,36.6162033126851,30,sin_homicidios,m
2010,male,0.00372881024312285,0.0184718561000261,94677.1030437552,1748.86182339159,469013.360660297,3046504.60433781,32.1778392704925,35,sin_homicidios,m
2010,male,0.005085440720772,0.0251079906092079,92928.2412203636,2333.24140789111,458808.10258209,2577491.24367752,27.7363609794942,40,sin_homicidios,m
2010,male,0.00823100721970913,0.040325242689266,90594.9998124725,3653.26535387196,443841.835677683,2118683.14109543,23.3863143162537,45,sin_homicidios,m
2010,male,0.0163851658500912,0.0787019672837735,86941.7344586005,6842.4855409553,417602.458440615,1674841.30541774,19.2639509189371,50,sin_homicidios,m
2010,male,0.0258761028048158,0.121519393243228,80099.2489176452,9733.6121277105,376162.21426895,1257238.84697713,15.6960129335266,55,sin_homicidios,m
2010,male,0.0403805253702865,0.183389242003075,70365.6367899347,12904.3007939699,319567.431964749,881076.63270818,12.5214049485332,60,sin_homicidios,m
2010,male,0.0612036781560199,0.265408456414415,57461.3359959649,15250.7244901991,249179.868754327,561509.20074343,9.77194823285803,65,sin_homicidios,m
2010,male,0.0942503629387342,0.381387126873662,42210.6115057658,16098.5838457644,170806.597914418,312329.331989104,7.39930839301963,70,sin_homicidios,m
2010,male,0.143585569909702,0.528290587013021,26112.0276600015,13794.7384206024,96073.2922485013,141522.734074686,5.41982935670181,75,sin_homicidios,m
2010,male,0.234892420955796,0.739944006898612,12317.2892393991,9114.10435393009,38801.1853121701,45449.4418261843,3.68988995409851,80,sin_homicidios,m
2010,male,0.481808257355413,1,3203.18488546897,3203.18488546897,6648.25651401422,6648.25651401422,2.07551444943862,85,sin_homicidios,m
2010,male,0.000535363316700384,0.00266973655971383,1e+05,266.973655971378,498677.529153151,5893375.27256588,58.9337527256587,5,todas_causas,m
2010,male,0.000677189158476036,0.00337828071865669,99733.0263440286,336.926159911309,497536.258066416,5394697.74341272,54.0913871880689,10,todas_causas,m
2010,male,0.00185646121048035,0.00923942446956448,99396.1001841173,918.362760220421,494684.594020036,4897161.48534631,49.2691511666454,15,todas_causas,m
2010,male,0.00265392942046483,0.0131821856266725,98477.7374238969,1298.15181481652,489143.307582443,4402476.89132627,44.7053009796096,20,todas_causas,m
2010,male,0.00339870056956207,0.016850329784223,97179.5856090804,1637.50806580714,481804.157880884,3913333.58374383,40.2690910772743,25,todas_causas,m
2010,male,0.00398327158658272,0.0197199828148281,95542.0775432732,1884.08812724632,473000.16739825,3431529.42586295,35.9164204306603,30,todas_causas,m
2010,male,0.00454785737353443,0.0224836557190573,93657.9894160269,2105.77398936906,463025.512106712,2958529.2584647,31.5886479830671,35,todas_causas,m
2010,male,0.00620206616151006,0.0305368518684199,91552.2154266579,2795.71644070953,450771.786031515,2495503.74635798,27.2577100917577,40,todas_causas,m
2010,male,0.010034951106565,0.0489468084585648,88756.4989859483,4344.34735531801,432921.626541447,2044731.96032647,23.0375463621,45,todas_causas,m
2010,male,0.0167189984808706,0.0802411147167224,84412.1516306303,6773.32514247877,405127.445296955,1611810.33378502,19.0945296695902,50,todas_causas,m
2010,male,0.0264002466651114,0.123828477453231,77638.8264881515,9613.89767528337,364159.388252549,1206682.88848807,15.5422607871619,55,todas_causas,m
2010,male,0.0412119527653512,0.186812494571147,68024.9288128682,12707.9066445566,308354.877452949,842523.500235517,12.3855109433961,60,todas_causas,m
